,US,CN
2402,1,
2403,1,
2404,1,
2405,1,
2406,1,
2407,1,
2408,1,
2409,1,
2410,1,
2411,1,
2412,1,
2413,1,
2414,1,
2415,1,
2416,1,
2417,1,
2418,1,
2419,1,
2420,1,
2421,1,
2422,1,
2423,1,
2424,1,
2425,1,
2426,1,
2427,1,
2428,1,
2429,1,
2430,1,
2431,1,
2432,1,
2433,1,
2434,1,
2435,1,
2436,1,
2437,1,
2438,1,
2439,1,
2440,1,
2441,1,
2442,1,
2443,1,
2444,1,
2445,1,
2446,1,
2447,1,
2448,1,
2449,1,
2450,1,
2451,1,
2452,1,
2453,1,
2454,1,
2455,1,
2456,1,
2457,1,
2458,1,
2459,1,
2460,1,
2461,1,
2462,1,
2463,1,
2464,1,
2465,1,
2466,1,
2467,1,
2468,1,
2469,1,
2470,1,
2471,1,
2472,1,
2473,1,
2474,1,
2475,1,
2476,1,
2477,1,
2478,1,
2479,1,
2480,1,
2481,1,
2482,1,
2483,1,
2484,1,
2485,1,
2486,1,
2487,1,
2488,1,
2489,1,
2490,1,
2491,1,
2492,1,
2493,1,
2494,1,
2495,1,
2496,1,
2497,1,
2498,1,
2499,1,
2500,1,
2501,1,
2502,1,
2503,1,
2504,1,
2505,1,
2506,1,
2507,1,
2508,1,
2509,1,
2510,1,
2511,1,
2512,1,
2513,1,
2514,1,
2515,1,
2516,1,
2517,1,
2518,1,
2519,1,
2520,1,
2521,1,
2522,1,
2523,1,
2524,1,
2525,1,
2526,1,
2527,1,
2528,1,
2529,1,
2530,1,
2531,1,
2532,1,
2533,1,
2534,1,
2535,1,
2536,1,
2537,1,
2538,1,
2539,1,
2540,1,
2541,1,
2542,1,
2543,1,
2544,1,
2545,1,
2546,1,
2547,1,
2548,1,
2549,1,
2550,1,
2551,1,
2552,1,
2553,1,
2554,1,
2555,1,
2556,1,
2557,1,
2558,1,
2559,1,
2560,1,
2561,1,
2562,1,
2563,1,
2564,1,
2565,1,
2566,1,
2567,1,
2568,1,
2569,1,
2570,1,
2571,1,
2572,1,
2573,1,
2574,1,
2575,1,
2576,1,
2577,1,
2578,1,
2579,1,
2580,1,
2581,1,
2582,1,
2583,1,
2584,1,
2585,1,
2586,1,
2587,1,
2588,1,
2589,1,
2590,1,
2591,1,
2592,1,
2593,1,
2594,1,
2595,1,
2596,1,
2597,1,
2598,1,
2599,1,
2600,1,
2601,1,
2602,1,
2603,1,
2604,1,
2605,1,
2606,1,
2607,1,
2608,1,
2609,1,
2610,1,
2611,1,
2612,1,
2613,1,
2614,1,
2615,1,
2616,1,
2617,1,
2618,1,
2619,1,
2620,1,
2621,1,
2622,1,
2623,1,
2624,1,
2625,1,
2626,1,
2627,1,
2628,1,
2629,1,
2630,1,
2631,1,
2632,1,
2633,1,
2634,1,
2635,1,
2636,1,
2637,1,
2638,1,
2639,1,
2640,1,
2641,1,
2642,1,
2643,1,
2644,1,
2645,1,
2646,1,
2647,1,
2648,1,
2649,1,
2650,1,
2651,1,
2652,1,
2653,1,
2654,1,
2655,1,
2656,1,
2657,1,
2658,1,
2659,1,
2660,1,
2661,1,
2662,1,
2663,1,
2664,1,
2665,1,
2666,1,
2667,1,
2668,1,
2669,1,
2670,1,
2671,1,
2672,1,
2673,1,
2674,1,
2675,1,
2676,1,
2677,1,
2678,1,
2679,1,
2680,1,
2681,1,
2682,1,
2683,1,
2684,1,
2685,1,
2686,1,
2687,1,
2688,1,
2689,1,
2690,1,
2691,1,
2692,1,
2693,1,
2694,1,
2695,1,
2696,1,
2697,1,
2698,1,
2699,1,
2700,1,
2701,1,
2702,1,
2703,1,
2704,1,
2705,1,
2706,1,
2707,1,
2708,1,
2709,1,
2710,1,
2711,1,
2712,1,
2713,1,
2714,1,
2715,1,
2716,1,
2717,1,
2718,1,
2719,1,
2720,1,
2721,1,
2722,1,
2723,1,
2724,1,
2725,1,
2726,1,
2727,1,
2728,1,
2729,1,
2730,1,
2731,1,
2732,1,
2733,1,
2734,1,
2735,1,
2736,1,
2737,1,
2738,1,
2739,1,
2740,1,
2741,1,
2742,1,
2743,1,
2744,1,
2745,1,
2746,1,
2747,1,
2748,1,
2749,1,
2750,1,
2751,1,
2752,1,
2753,1,
2754,1,
2755,1,
2756,1,
2757,1,
2758,1,
2759,1,
2760,1,
2761,1,
2762,1,
2763,1,
2764,1,
2765,1,
2766,1,
2767,1,
2768,1,
2769,1,
2770,1,
2771,1,
2772,1,
2773,1,
2774,1,
2775,1,
2776,1,
2777,1,
2778,1,
2779,1,
2780,1,
2781,1,
2782,1,
2783,1,
2784,1,
2785,1,
2786,1,
2787,1,
2788,1,
2789,1,
2790,1,
2791,1,
2792,1,
2793,1,
2794,1,
2795,1,
2796,1,
2797,1,
2798,1,
2799,1,
2800,1,
2801,1,
2802,1,
2803,1,
2804,1,
2805,1,
2806,1,
2807,1,
2808,1,
2809,1,
2810,1,
2811,1,
2812,1,
2813,1,
2814,1,
2815,1,
2816,1,
2817,1,
2818,1,
2819,1,
2820,1,
2821,1,
2822,1,
2823,1,
2824,1,
2825,1,
2826,1,
2827,1,
2828,1,
2829,1,
2830,1,
2831,1,
2832,1,
2833,1,
2834,1,
2835,1,
2836,1,
2837,1,
2838,1,
2839,1,
2840,1,
2841,1,
2842,1,
2843,1,
2844,1,
2845,1,
2846,1,
2847,1,
2848,1,
2849,1,
2850,1,
2851,1,
2852,1,
2853,1,
2854,1,
2855,1,
2856,1,
2857,1,
2858,1,
2859,1,
2860,1,
2861,1,
2862,1,
2863,1,
2864,1,
2865,1,
2866,1,
2867,1,
2868,1,
2869,1,
2870,1,
2871,1,
2872,1,
2873,1,
2874,1,
2875,1,
2876,1,
2877,1,
2878,1,
2879,1,
2880,1,
2881,1,
2882,1,
2883,1,
2884,1,
2885,1,
2886,1,
2887,1,
2888,1,
2889,1,
2890,1,
2891,1,
2892,1,
2893,1,
2894,1,
2895,1,
2896,1,
2897,1,
2898,1,
2899,1,
2900,1,
2901,1,
2902,1,
2903,1,
2904,1,
2905,1,
2906,1,
2907,1,
2908,1,
2909,1,
2910,1,
2911,1,
2912,1,
2913,1,
2914,1,
2915,1,
2916,1,
2917,1,
2918,1,
2919,1,
2920,1,
2921,1,
2922,1,
2923,1,
2924,1,
2925,1,
2926,1,
2927,1,
2928,1,
2929,1,
2930,1,
2931,1,
2932,1,
2933,1,
2934,1,
2935,1,
2936,1,
2937,1,
2938,1,
2939,1,
2940,1,
2941,1,
2942,1,
2943,1,
2944,1,
2945,1,
2946,1,
2947,1,
2948,1,
2949,1,
2950,1,
2951,1,
2952,1,
2953,1,
2954,1,
2955,1,
2956,1,
2957,1,
2958,1,
2959,1,
2960,1,
2961,1,
2962,1,
2963,1,
2964,1,
2965,1,
2966,1,
2967,1,
2968,1,
2969,1,
2970,1,
2971,1,
2972,1,
2973,1,
2974,1,
2975,1,
2976,1,
2977,1,
2978,1,
2979,1,
2980,1,
2981,1,
2982,1,
2983,1,
2984,1,
2985,1,
2986,1,
2987,1,
2988,1,
2989,1,
2990,1,
2991,1,
2992,1,
2993,1,
2994,1,
2995,1,
2996,1,
2997,1,
2998,1,
2999,1,
3000,1,
3001,1,
3002,1,
3003,1,
3004,1,
3005,1,
3006,1,
3007,1,
3008,1,
3009,1,
3010,1,
3011,1,
3012,1,
3013,1,
3014,1,
3015,1,
3016,1,
3017,1,
3018,1,
3019,1,
3020,1,
3021,1,
3022,1,
3023,1,
3024,1,
3025,1,
3026,1,
3027,1,
3028,1,
3029,1,
3030,1,
3031,1,
3032,1,
3033,1,
3034,1,
3035,1,
3036,1,
3037,1,
3038,1,
3039,1,
3040,1,
3041,1,
3042,1,
3043,1,
3044,1,
3045,1,
3046,1,
3047,1,
3048,1,
3049,1,
3050,1,
3051,1,
3052,1,
3053,1,
3054,1,
3055,1,
3056,1,
3057,1,
3058,1,
3059,1,
3060,1,
3061,1,
3062,1,
3063,1,
3064,1,
3065,1,
3066,1,
3067,1,
3068,1,
3069,1,
3070,1,
3071,1,
3072,1,
3073,1,
3074,1,
3075,1,
3076,1,
3077,1,
3078,1,
3079,1,
3080,1,
3081,1,
3082,1,
3083,1,
3084,1,
3085,1,
3086,1,
3087,1,
3088,1,
3089,1,
3090,1,
3091,1,
3092,1,
3093,1,
3094,1,
3095,1,
3096,1,
3097,1,
3098,1,
3099,1,
3100,1,
3101,1,
3102,1,
3103,1,
3104,1,
3105,1,
3106,1,
3107,1,
3108,1,
3109,1,
3110,1,
3111,1,
3112,1,
3113,1,
3114,1,
3115,1,
3116,1,
3117,1,
3118,1,
3119,1,
3120,1,
3121,1,
3122,1,
3123,1,
3124,1,
3125,1,
3126,1,
3127,1,
3128,1,
3129,1,
3130,1,
3131,1,
3132,1,
3133,1,
3134,1,
3135,1,
3136,1,
3137,1,
3138,1,
3139,1,
3140,1,
3141,1,
3142,1,
3143,1,
3144,1,
3145,1,
3146,1,
3147,1,
3148,1,
3149,1,
3150,1,
3151,1,
3152,1,
3153,1,
3154,1,
3155,1,
3156,1,
3157,1,
3158,1,
3159,1,
3160,1,
3161,1,
3162,1,
3163,1,
3164,1,
3165,1,
3166,1,
3167,1,
3168,1,
3169,1,
3170,1,
3171,1,
3172,1,
3173,1,
3174,1,
3175,1,
3176,1,
3177,1,
3178,1,
3179,1,
3180,1,
3181,1,
3182,1,
3183,1,
3184,1,
3185,1,
3186,1,
3187,1,
3188,1,
3189,1,
3190,1,
3191,1,
3192,1,
3193,1,
3194,1,
3195,1,
3196,1,
3197,1,
3198,1,
3199,1,
3200,1,
3201,1,
3202,1,
3203,1,
3204,1,
3205,1,
3206,1,
3207,1,
3208,1,
3209,1,
3210,1,
3211,1,
3212,1,
3213,1,
3214,1,
3215,1,
